,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,610.000,21895741,31 Mart 2023,Audi,A1,1.6 TDI Sportback Attraction,2012,125.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Boyanmış,Orijinal,Boyanmış,Orijinal,Boyanmış,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,,,Boyanmış,Boyanmış
1,605.000,22060974,24 Mart 2023,Audi,A1,1.6 TDI Attraction,2012,134.000 km,Düz,Dizel,Hatchback/3,1598 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış
2,598.750,22207314,20 Mart 2023,Audi,A1,1.6 TDI Attraction,2012,118.000 km,Düz,Dizel,Hatchback/3,1598 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 12.836 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
3,850.000,22197896,19 Mart 2023,Audi,A1,1.6 TDI Sportback Ambition,2013,67.595 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 3.000 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Lokal Boyanmış
4,635.000,22187837,17 Mart 2023,Audi,A1,1.6 TDI Attraction,2013,80.000 km,Yarı Otomatik,Dizel,Hatchback/5,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,Boyanmış,Boyanmış,,
5,495.000,22174549,16 Mart 2023,Audi,A1,1.4 TFSI Attraction,2011,150.000 km,Yarı Otomatik,Benzin,Hatchback/3,1390 cc,122 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 7.400 TL,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Lokal Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
6,570.000,21808423,16 Mart 2023,Audi,A1,1.6 TDI Sportback Attraction,2013,162.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 4.400 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
7,549.750,22167704,14 Mart 2023,Audi,A1,1.4 TFSI Attraction,2011,93.000 km,Yarı Otomatik,Benzin,Hatchback/3,1390 cc,122 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,1.135 TL,Takasa Uygun,,,,,,,,,,,,,,
8,425.000,21905778,13 Mart 2023,Audi,A1,1.4 TFSI Ambition,2012,235.000 km,Yarı Otomatik,Benzin,Hatchback/3,1390 cc,122 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Tramer tutarı yok,Lokal Boyanmış,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Lokal Boyanmış,Lokal Boyanmış,Orijinal,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış
9,529.750,22140902,11 Mart 2023,Audi,A1,1.6 TDI Sportback Attraction,2013,106.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 15.000 TL,,,,,,Değişmiş,,Boyanmış,Değişmiş,,,,
10,649.990,22138834,11 Mart 2023,Audi,A1,1.6 TDI Sportback Attraction,2013,132.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
11,590.000,22120252,09 Mart 2023,Audi,A1,1.6 TDI Sportback Ambition,2013,98.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 10.000 TL,,,Boyanmış,,,,,,,,Boyanmış,,
12,549.990,22061744,28 Şubat 2023,Audi,A1,1.6 TDI Sportback Attraction,2012,152.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
13,650.000,22038154,25 Şubat 2023,Audi,A1,1.6 TDI Attraction,2013,70.300 km,Düz,Dizel,Hatchback/3,1598 cc,105 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 3.000 TL,,,,,,,,,Boyanmış,,,,
14,825.000,22302259,01 Nisan 2023,Audi,A3,A3 Sedan 1.6 TDI Attraction,2015,149.500 km,Yarı Otomatik,Dizel,Sedan,1598 cc,110 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
