,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,1.750.000,22150485,31 Mart 2023,BMW,3 Serisi,320i First Edition Sport Line,2020,42.000 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1,855.000,22296108,31 Mart 2023,BMW,5 Serisi,520d M Sport,2011,325.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,3.047 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
2,587.500,22296102,31 Mart 2023,BMW,3 Serisi,316i Exclusive,2010,238.000 km,Düz,LPG & Benzin,Sedan,1597 cc,122 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
3,1.295.000,22296004,31 Mart 2023,BMW,3 Serisi,320i ED 40th Year Edition,2016,136.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
4,825.000,22295542,31 Mart 2023,BMW,3 Serisi,320i ED Sport Line,2014,235.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 40.000 TL,,Lokal Boyanmış,Değişmiş,,Değişmiş,Değişmiş,Boyanmış,,,,,,Boyanmış
5,659.000,22295334,31 Mart 2023,BMW,5 Serisi,520d Premium,2008,310.000 km,Otomatik,Dizel,Sedan,1995 cc,177 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,3.047 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 2.000 TL,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Değişmiş,Orijinal,Orijinal,,,Orijinal,Orijinal
6,1.350.000,22295859,31 Mart 2023,BMW,5 Serisi,525d xDrive Premium,2014,230.000 km,Otomatik,Dizel,Station wagon,1995 cc,218 hp,4WD (Sürekli),Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,5.119 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
7,950.000,22295019,31 Mart 2023,BMW,3 Serisi,320i ED Modern Line Plus,2014,128.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,,,,,,,Boyanmış,Değişmiş,,,,,
8,1.440.000,22294155,31 Mart 2023,BMW,2 Serisi,216d Gran Coupe Sport Line,2022,15.350 km,Otomatik,Dizel,Coupe,1496 cc,116 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Tramer tutarı belirtilmemiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
9,840.000,22295943,31 Mart 2023,BMW,1 Serisi,116d Joy,2017,109.000 km,Otomatik,Dizel,Hatchback/5,1496 cc,116 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibiyim,2.769 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
10,345.000,22295913,31 Mart 2023,BMW,3 Serisi,318Ci,2001,286.000 km,Otomatik,LPG & Benzin,Coupe,1995 cc,143 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
11,995.000,22295819,31 Mart 2023,BMW,3 Serisi,316i M Sport,2015,115.000 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 8.500 TL,,,,,,,Değişmiş,,,,,,
12,620.000,22294717,31 Mart 2023,BMW,3 Serisi,316i Comfort,2011,153.000 km,Otomatik,LPG & Benzin,Sedan,1596 cc,116 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
13,950.000,22294612,31 Mart 2023,BMW,3 Serisi,316i Comfort,2014,109.000 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal
14,1.220.000,22292863,31 Mart 2023,BMW,3 Serisi,318i Edition Sport Line,2017,92.500 km,Otomatik,Benzin,Sedan,1499 cc,136 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Siyah,İlk Sahibi Değilim,2.769 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
15,230.000,22292740,31 Mart 2023,BMW,3 Serisi,318i Standart,1992,269.000 km,Düz,LPG & Benzin,Coupe,1796 cc,113 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,780 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
16,635.000,22292674,31 Mart 2023,BMW,5 Serisi,520i Standart,2005,230.000 km,Otomatik,LPG & Benzin,Sedan,2171 cc,170 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Tramer tutarı yok,Boyanmış,,,,,,,,,,,Boyanmış,Boyanmış
17,315.000,22293739,31 Mart 2023,BMW,3 Serisi,316ti Compact,2002,159.000 km,Düz,Benzin,Hatchback/3,1596 cc,115 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 6.000 TL,,,,,,,,Değişmiş,Değişmiş,Boyanmış,,,
18,880.000,22293565,31 Mart 2023,BMW,5 Serisi,520d Comfort,2011,330.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,3.047 TL,Takasa Uygun,Toplam Tramer Tutarı: 40.000 TL,,,,,,Lokal Boyanmış,,,Lokal Boyanmış,Boyanmış,Boyanmış,,
19,480.000,22293264,31 Mart 2023,BMW,3 Serisi,316i Standart,2005,187.000 km,Düz,Benzin,Sedan,1596 cc,115 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
20,1.355.000,22292060,31 Mart 2023,BMW,5 Serisi,520i Premium,2015,110.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
21,1.198.000,22022248,31 Mart 2023,BMW,3 Serisi,320i ED M Plus,2015,105.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,Lokal Boyanmış,,,,,,,,,,,Boyanmış,
22,1.550.000,22295614,31 Mart 2023,BMW,5 Serisi,520d Exclusive,2011,97.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Şampanya,İlk Sahibi Değilim,3.047 TL,Takasa Uygun,,,,,,,,,,,,,,
23,455.000,21470972,31 Mart 2023,BMW,3 Serisi,316i Standart,2004,138.000 km,Düz,Benzin,Sedan,1596 cc,115 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
24,975.000,22152835,31 Mart 2023,BMW,3 Serisi,320d Luxury,2013,155.000 km,Otomatik,Dizel,Sedan,1995 cc,177 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,5.119 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
25,3.250.000,21475046,31 Mart 2023,BMW,6 Serisi,630i Gran Turismo M Sport,2018,80.350 km,Otomatik,Benzin,Hatchback/3,2998 cc,340 hp,AWD (Elektronik),Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Siyah,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,,,Orijinal,Değişmiş
26,1.215.000,21084944,31 Mart 2023,BMW,5 Serisi,520d Executive M Sport,2011,258.224 km,Otomatik,Dizel,Sedan,1995 cc,190 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Siyah,İlk Sahibi Değilim,3.047 TL,Takasa Uygun Değil,,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,,,Orijinal,Orijinal
27,529.000,22295104,30 Mart 2023,BMW,5 Serisi,520d Standart,2009,301.000 km,Otomatik,Dizel,Sedan,1995 cc,177 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,3.047 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
