,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,1.075.000,22303847,01 Nisan 2023,Mercedes - Benz,A,A 180 d AMG,2017,60.000 km,Yarı Otomatik,Dizel,Hatchback/5,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1,720.000,22298398,31 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Style,2013,88.000 km,Düz,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
2,955.555,22298311,31 Mart 2023,Mercedes - Benz,A,A 200 BlueEFFICIENCY AMG Sport,2016,100.000 km,Yarı Otomatik,Benzin,Hatchback/5,1595 cc,156 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
3,850.000,22292536,31 Mart 2023,Mercedes - Benz,A,A 180 d AMG,2016,139.000 km,Otomatik,Dizel,Hatchback/5,,,,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,Toplam Tramer Tutarı: 49.000 TL,,,,,,,,Değişmiş,Lokal Boyanmış,Değişmiş,,,
4,370.000,22164432,30 Mart 2023,Mercedes - Benz,A,A 160 CDI Avantgarde,2005,177.500 km,Otomatik,Dizel,Hatchback/5,1991 cc,82 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
5,1.445.000,22291126,30 Mart 2023,Mercedes - Benz,A,A 200 AMG,2018,47.000 km,Yarı Otomatik,Benzin,Hatchback/5,1332 cc,163 hp,Önden Çekiş,Takasa Uygun:,Şirket,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
6,875.000,22290836,30 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG,2014,155.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 11.000 TL,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
7,885.000,22289801,30 Mart 2023,Mercedes - Benz,A,A 180 BlueEFFICIENCY AMG Sport,2016,75.500 km,Otomatik,Benzin,Hatchback/5,1595 cc,122 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
8,292.500,22288421,30 Mart 2023,Mercedes - Benz,A,A 160 Avantgarde,2005,190.000 km,Otomatik,LPG & Benzin,Hatchback/5,1598 cc,102 hp,Önden Çekiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
9,919.950,21757948,30 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Style,2017,108.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Siyah,İlk Sahibi Değilim,2.769 TL,Takasa Uygun,,,,,,,,,,,,,,
10,1.457.500,22288334,30 Mart 2023,Mercedes - Benz,A,A 200 AMG,2019,37.000 km,Yarı Otomatik,Benzin,Sedan,1332 cc,163 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibiyim,,Takasa Uygun,,,,,,,,,,,,,,
11,1.470.900,22288222,30 Mart 2023,Mercedes - Benz,A,A 180 d AMG,2020,41.064 km,Yarı Otomatik,Dizel,Sedan,1461 cc,116 hp,Önden Çekiş,Takasa Uygun:,Şirket,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,4.434 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
12,860.000,22287912,30 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2014,133.177 km,Otomatik,Dizel,Station wagon,1461 cc,109 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 19.000 TL,,,,,Değişmiş,,,,,,,,
13,760.000,22287545,30 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG,2013,110.000 km,Düz,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
14,1.429.000,22287637,30 Mart 2023,Mercedes - Benz,A,A 200 AMG,2019,78.000 km,Yarı Otomatik,Benzin,Sedan,1332 cc,163 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,,Takasa Uygun,,,,,,,,,,,,,,
15,1.795.000,22287573,30 Mart 2023,Mercedes - Benz,A,A 200 AMG+,2022,11.000 km,Yarı Otomatik,Benzin,Sedan,1332 cc,163 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
16,695.000,22285269,30 Mart 2023,Mercedes - Benz,A,A 180 BlueEFFICIENCY Style,2014,207.000 km,Yarı Otomatik,Benzin,Hatchback/5,1595 cc,122 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 2.030 TL,Boyanmış,,Boyanmış,,,,Boyanmış,,,,,Boyanmış,Değişmiş
17,665.000,22281810,29 Mart 2023,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Urban,2012,151.110 km,Düz,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 14.000 TL,,,Lokal Boyanmış,,,,Lokal Boyanmış,Değişmiş,,,,,
18,1.620.000,22282162,29 Mart 2023,Mercedes - Benz,A,A 200 AMG,2020,10.400 km,Yarı Otomatik,Benzin,Hatchback/5,1332 cc,163 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,4.434 TL,Takasa Uygun,,,,,,,,,,,,,,
