,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,269.000,22300679,31 Mart 2023,Citroen,AMİ,My Ami Pop,2022,6.100 km,Otomatik,Elektrik,Coupe,1200 cm3' e kadar,50 HP'ye kadar,4WD (Sürekli),Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibiyim,,Takasa Uygun,,,,,,,,,,,,,,
1,259.750,22024097,22 Şubat 2023,Citroen,AMİ,My Ami Pop,2021,6.500 km,Yarı Otomatik,Elektrik,Coupe,1200 cm3' e kadar,50 HP'ye kadar,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Mavi,İlk Sahibiyim,,Takasa Uygun,,,,,,,,,,,,,,
2,275.000,21974269,13 Şubat 2023,Citroen,AMİ,My Ami Pop,2022,6.060 km,Otomatik,Elektrik,Coupe,1200 cm3' e kadar,50 HP'ye kadar,Önden Çekiş,Takasa Uygun:,Şirket,Garantisi Var,(TR) Türkiye,Mavi,İlk Sahibi Değilim,,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
3,92.500,22290638,30 Mart 2023,Citroen,AX,1.1 First,1992,264.000 km,Düz,LPG & Benzin,Hatchback/3,1124 cc,61 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,219 TL,Takasa Uygun,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
4,430.000,22231650,03 Nisan 2023,Citroen,C-Elysee,1.6 HDi Feel,2017,157.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,2.769 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
5,350.000,22318008,03 Nisan 2023,Citroen,C-Elysee,1.6 HDi Attraction,2015,197.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 6.000 TL,,,,,,,Değişmiş,,,,,,
6,425.000,22320141,03 Nisan 2023,Citroen,C-Elysee,1.6 HDi Confort,2016,122.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,,,Lokal Boyanmış,,,,,,,,Boyanmış,,
7,520.000,22320262,03 Nisan 2023,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,16.400 km,Düz,Dizel,Sedan,1499 cc,100 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,3.693 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 50.704 TL,,,,,,,,Değişmiş,Değişmiş,Değişmiş,,,
8,365.000,22319925,03 Nisan 2023,Citroen,C-Elysee,1.6 HDi Confort,2012,139.500 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
9,299.000,22319195,03 Nisan 2023,Citroen,C-Elysee,1.2 VTi Attraction,2013,185.000 km,Düz,Benzin,Sedan,1199 cc,73 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,826 TL,Takasa Uygun Değil,,Boyanmış,,,Lokal Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
