,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,220.000,15008536,22 Mart 2023,Fiat,126 Bis,126,1990,10.000 km,Düz,Benzin,Hatchback/3,1200 cm3' e kadar,51 - 75 HP,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,,Takasa Uygun,,,,,,,,,,,,,,
1,75.000,22136243,10 Mart 2023,Fiat,126 Bis,126,1991,56.000 km,Düz,Benzin,Hatchback/3,1200 cm3' e kadar,50 HP'ye kadar,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,,,,
2,57.000,22083104,03 Mart 2023,Fiat,126 Bis,126,1984,30.000 km,Düz,LPG & Benzin,Sedan,1401 - 1600 cm3,50 HP'ye kadar,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
3,95.750,22019350,22 Şubat 2023,Fiat,126 Bis,126,1991,99.750 km,Düz,Benzin,Hatchback/3,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
4,60.000,21973708,13 Şubat 2023,Fiat,126 Bis,126,1991,22.500 km,Düz,Benzin,Hatchback/3,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
5,90.000,22317781,02 Nisan 2023,Fiat,500 Abarth,595 Anniversario,2015,9.999 km,Yarı Otomatik,LPG & Benzin,Hatchback/3,1368 cc,180 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Altın,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
6,470.000,22213704,03 Nisan 2023,Fiat,Egea,1.6 Multijet Comfort,2017,49.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,2.769 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
7,390.000,22246497,03 Nisan 2023,Fiat,Linea,1.3 Multijet Urban,2015,202.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,826 TL,Takasa Uygun,Tramer tutarı belirtilmemiş,Lokal Boyanmış,,,,,,Lokal Boyanmış,,,,,,
8,197.000,22320860,03 Nisan 2023,Fiat,Siena,1.4 EL,2000,229.000 km,Düz,LPG & Benzin,Sedan,1372 cc,71 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,436 TL,Takasa Uygun,Tramer tutarı yok,Boyanmış,,,,,,Boyanmış,,,,,,
9,250.000,22279637,03 Nisan 2023,Fiat,Panda,1.2 Dynamic,2006,100.000 km,Düz,LPG & Benzin,Hatchback/5,1242 cc,60 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,219 TL,-,,,,,,,,,,,,,,
10,342.000,22320545,03 Nisan 2023,Fiat,Linea,1.3 Multijet Active Plus,2013,130.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,826 TL,Takasa Uygun,,,,,,,,,,,,,,
