,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,478.000,21932273,06 Nisan 2023,Ford,B-Max,1.6 Titanium,2013,124.000 km,Yarı Otomatik,LPG & Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Lokal Boyanmış,,,,,,,,,,,Lokal Boyanmış,
1,480.000,22340459,05 Nisan 2023,Ford,B-Max,1.6 Trend,2014,126.300 km,Yarı Otomatik,LPG & Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,-,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
2,415.000,22211460,05 Nisan 2023,Ford,B-Max,1.5 TDCi Titanium,2012,165.000 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,Lokal Boyanmış,Değişmiş,Lokal Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Boyanmış
3,459.750,22323751,03 Nisan 2023,Ford,B-Max,1.6 Trend,2014,138.000 km,Yarı Otomatik,Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Belirtilmemiş,Şirket,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
4,428.000,22314308,02 Nisan 2023,Ford,B-Max,1.5 TDCi Trend,2013,116.000 km,Düz,Dizel,Hatchback/5,,76 - 100 HP,Önden Çekiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 650 TL,,,,,,,Boyanmış,,,,,,Lokal Boyanmış
5,375.000,22297376,31 Mart 2023,Ford,B-Max,1.5 TDCi Titanium,2012,217.000 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
6,498.500,22287138,30 Mart 2023,Ford,B-Max,1.6 Titanium,2013,152.000 km,Yarı Otomatik,LPG & Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
7,417.500,22276781,29 Mart 2023,Ford,B-Max,1.5 TDCi Trend,2012,128.000 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 700 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
8,475.000,22267288,27 Mart 2023,Ford,B-Max,1.5 TDCi Titanium,2012,105.000 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Toplam Tramer Tutarı: 5.600 TL,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
9,465.750,21846373,26 Mart 2023,Ford,B-Max,1.6 TDCi Titanium,2014,156.000 km,Düz,Dizel,MPV,1560 cc,95 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,,Lokal Boyanmış,Lokal Boyanmış,,,,,,,
10,575.000,22235284,24 Mart 2023,Ford,B-Max,1.6 Titanium,2015,124.845 km,Otomatik,Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
11,438.500,22231529,23 Mart 2023,Ford,B-Max,1.6 TDCi Titanium,2013,146.000 km,Düz,Dizel,MPV,1560 cc,95 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 710 TL,,,,,Boyanmış,Boyanmış,,,,,,Boyanmış,
12,477.750,22162045,22 Mart 2023,Ford,B-Max,1.5 TDCi Titanium,2013,110.000 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kahverengi,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Orijinal,Boyanmış,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
13,450.000,21860755,22 Mart 2023,Ford,B-Max,1.6 Titanium,2012,80.000 km,Yarı Otomatik,Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Gri (titanyum),İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 4.500 TL,,,,,,Boyanmış,,,Boyanmış,,,,
