,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,485.000,22348818,06 Nisan 2023,Honda,Accord,2.0 Executive,2011,155.000 km,Otomatik,LPG & Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,3.047 TL,Takasa Uygun,,,,,,,,,,,,,,
1,665.000,22348353,06 Nisan 2023,Honda,Accord,2.0 Executive,2011,180.000 km,Otomatik,LPG & Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
2,179.000,22341837,06 Nisan 2023,Honda,Accord,2.0 EX,1994,394.000 km,Otomatik,LPG & Benzin,Sedan,1997 cc,133 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Bordo,İlk Sahibiyim,1.198 TL,Takasa Uygun,Toplam Tramer Tutarı: 3.000 TL,Lokal Boyanmış,,,,,,Lokal Boyanmış,,,,,,
3,625.000,22342188,06 Nisan 2023,Honda,Accord,2.0 Executive,2009,153.700 km,Otomatik,LPG & Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,3.047 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 16.303 TL,,,Lokal Boyanmış,,,,Lokal Boyanmış,Lokal Boyanmış,,Değişmiş,Değişmiş,Lokal Boyanmış,
4,365.000,22337912,05 Nisan 2023,Honda,Accord,2.4 Executive,2004,228.000 km,Otomatik,Benzin,Sedan,2354 cc,190 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Gri (Gümüş),İlk Sahibi Değilim,1.818 TL,Takasa Uygun Değil,Tramer tutarı yok,Boyanmış,Boyanmış,Değişmiş,Orijinal,Boyanmış,Boyanmış,Değişmiş,Değişmiş,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış
5,180.000,22334130,05 Nisan 2023,Honda,Accord,2.0 ES,1996,365.000 km,Otomatik,LPG & Benzin,Sedan,1997 cc,131 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Yeşil,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
6,300.000,22032059,04 Nisan 2023,Honda,Accord,2.4 Executive,2003,390.500 km,Otomatik,LPG & Benzin,Sedan,2354 cc,190 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.818 TL,Takasa Uygun Değil,Bu araç ağır hasar kayıtlıdır.,,,,,,,Boyanmış,Değişmiş,Değişmiş,,,,
7,520.000,21771550,04 Nisan 2023,Honda,Accord,2.4 Executive,2003,213.000 km,Otomatik,LPG & Benzin,Sedan,2354 cc,190 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibiyim,1.818 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
8,235.000,22331149,04 Nisan 2023,Honda,Accord,2.0 EX,2000,303.000 km,Otomatik,LPG & Benzin,Sedan,1997 cc,147 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,Orijinal,,Orijinal,,,Boyanmış,Orijinal,Boyanmış,,,,
9,175.000,22325579,04 Nisan 2023,Honda,Accord,2.0 EX,1993,450.000 km,Otomatik,LPG & Benzin,Sedan,1997 cc,133 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,1.198 TL,Takasa Uygun Değil,Tramer tutarı belirtilmemiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
10,233.000,22273723,03 Nisan 2023,Honda,Accord,1.8,1999,3.595.000 km,Otomatik,LPG & Benzin,Sedan,2501 - 3000 cm3,201 - 225 HP,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,,Takasa Uygun,,,,,,,,,,,,,,
11,750.000,22323924,03 Nisan 2023,Honda,Accord,2.0 Executive,2008,144.000 km,Otomatik,Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibiyim,3.047 TL,Takasa Uygun,Toplam Tramer Tutarı: 7.500 TL,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal
12,510.000,22321251,03 Nisan 2023,Honda,Accord,2.0 Executive,2009,240.000 km,Otomatik,LPG & Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,3.047 TL,Takasa Uygun,Toplam Tramer Tutarı: 28.000 TL,Değişmiş,Boyanmış,Değişmiş,Orijinal,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,,,Değişmiş,Boyanmış
13,1.475.000,22321359,03 Nisan 2023,Honda,Accord,1.5 VTEC Executive Plus,2022,6.122 km,Otomatik,Benzin,Sedan,1498 cc,190 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,4.434 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
14,445.000,22317692,03 Nisan 2023,Honda,Accord,2.0 Executive,2009,302.000 km,Otomatik,LPG & Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibi Değilim,3.047 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 23.000 TL,Boyanmış,,,,,,Boyanmış,Değişmiş,Boyanmış,,,Boyanmış,Boyanmış
15,415.000,22318020,03 Nisan 2023,Honda,Accord,2.4 Executive,2004,284.000 km,Otomatik,LPG & Benzin,Sedan,2354 cc,190 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibi Değilim,1.818 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
