,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,215.000,22360911,08 Nisan 2023,Hyundai,Accent,1.6 Admire,2005,260.000 km,Düz,LPG & Benzin,Sedan,1599 cc,112 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Bu araç ağır hasar kayıtlıdır.,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1,215.000,22358847,08 Nisan 2023,Hyundai,Accent,1.3 LX,2001,259.000 km,Düz,LPG & Benzin,Sedan,1341 cc,86 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,Tramer tutarı yok,,,,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
2,236.500,22358844,08 Nisan 2023,Hyundai,Accent,1.3 LX,2001,288.000 km,Otomatik,LPG & Benzin,Sedan,1341 cc,86 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
3,133.500,22357783,08 Nisan 2023,Hyundai,Accent,1.5 LS,2000,299.000 km,Düz,LPG & Benzin,Sedan,1341 cc,75 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
4,212.000,22358629,08 Nisan 2023,Hyundai,Accent,1.5 CRDi Admire,2004,251.500 km,Düz,Dizel,Sedan,1493 cc,82 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 1.600 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,,,Orijinal,Orijinal
5,234.750,22291829,08 Nisan 2023,Hyundai,Accent,1.3 Admire,2005,239.000 km,Düz,LPG & Benzin,Sedan,1341 cc,86 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (metalik),İlk Sahibi Değilim,436 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
6,185.000,22358899,07 Nisan 2023,Hyundai,Accent,1.5 GLS,1999,245.000 km,Düz,LPG & Benzin,Hatchback/5,1495 cc,92 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
7,310.000,21941261,07 Nisan 2023,Hyundai,Accent,1.6 Admire,2005,216.000 km,Düz,LPG & Benzin,Sedan,1599 cc,112 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
8,160.000,22357225,07 Nisan 2023,Hyundai,Accent,1.5 GLS,1996,322.000 km,Düz,LPG & Benzin,Sedan,1495 cc,92 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
9,200.000,22356894,07 Nisan 2023,Hyundai,Accent,1.5 GLS,1998,240.000 km,Düz,LPG & Benzin,Sedan,1495 cc,92 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
10,250.000,22356013,07 Nisan 2023,Hyundai,Accent,1.5 CRDi Admire,2005,315.000 km,Düz,Dizel,Sedan,1493 cc,82 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
