,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,659.900,22242981,07 Nisan 2023,Opel,Astra,1.2 Turbo Edition,2019,100.110 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
1,1.174.500,22338467,07 Nisan 2023,Opel,Astra,1.2 Turbo GS,2022,6.050 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Sarı,İlk Sahibiyim,2.545 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
2,759.750,22337437,05 Nisan 2023,Opel,Astra,1.2 Turbo Edition,2021,15.681 km,Düz,Benzin,Hatchback/5,1199 cc,145 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,2.545 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
3,862.000,22337362,05 Nisan 2023,Opel,Astra,1.2 Turbo GS Line,2020,20.124 km,Otomatik,Benzin,Hatchback/3,1400 cc,145 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
4,1.195.000,22323615,03 Nisan 2023,Opel,Astra,1.2 Turbo GS,2023,1.001 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri (titanyum),İlk Sahibiyim,2.545 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
5,1.080.000,22301094,01 Nisan 2023,Opel,Astra,1.2 Turbo Elegance,2023,920 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri (Gümüş),İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
6,780.000,22299873,31 Mart 2023,Opel,Astra,1.2 Turbo GS Line,2020,36.000 km,Düz,Benzin,Hatchback/5,1199 cc,110 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
7,634.000,22165853,31 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,102.650 km,Otomatik,Benzin,Sedan,1400 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
8,634.000,22180419,31 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,126.858 km,Otomatik,Benzin,Sedan,1400 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
9,650.000,22282503,29 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,88.846 km,Otomatik,Benzin,Sedan,1400 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış
10,644.900,22248642,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,132.092 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
11,669.900,22248641,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,77.982 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
12,644.900,22248638,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,126.527 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
13,649.900,22248637,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,103.939 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
14,669.900,22245045,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,85.882 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
15,644.900,22245041,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,117.190 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış
16,669.900,22242985,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,86.368 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
17,669.900,22242983,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,68.519 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal
18,649.900,22242982,27 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,128.363 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
19,659.900,22242989,24 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,78.814 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
20,669.750,22221670,21 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,97.801 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
21,640.000,22180437,16 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,112.880 km,Otomatik,Benzin,Sedan,1400 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
22,654.000,22141877,11 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,75.113 km,Otomatik,Benzin,Sedan,1364 cc,136 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış
23,640.000,22119287,08 Mart 2023,Opel,Astra,1.2 Turbo Edition,2020,32.000 km,Düz,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Füme,İlk Sahibiyim,,Takasa Uygun Değil,,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
24,657.000,22107102,07 Mart 2023,Opel,Astra,1.2 Turbo Edition,2019,62.360 km,Otomatik,Benzin,Sedan,1400 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun Değil,,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
25,1.300.000,22053265,27 Şubat 2023,Opel,Astra,1.2 Turbo GS,2023,1.001 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
26,645.000,22040243,25 Şubat 2023,Opel,Astra,1.2 Turbo Edition,2020,23.200 km,Düz,Benzin,Hatchback/5,1199 cc,110 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri (metalik),İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
27,650.000,22038407,24 Şubat 2023,Opel,Astra,1.2 Turbo Edition,2019,113.438 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
28,1.257.500,21995907,18 Şubat 2023,Opel,Astra,1.2 Turbo GS,2023,1.001 km,Otomatik,Benzin,Hatchback/5,1199 cc,132 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Füme,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
29,649.900,21958156,08 Şubat 2023,Opel,Astra,1.2 Turbo Edition,2019,57.972 km,Otomatik,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,,Takasa Uygun Değil,,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal
30,389.000,22367951,09 Nisan 2023,Opel,Astra,1.3 CDTI Sport,2012,260.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,826 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 2.317 TL,,,Boyanmış,Boyanmış,,,,,Boyanmış,,,,
31,280.000,22367627,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy,2007,269.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Gri,İlk Sahibiyim,219 TL,Takasa Uygun Değil,Bu araç ağır hasar kayıtlıdır.,Boyanmış,,Boyanmış,,,,Değişmiş,Boyanmış,,,,,
32,350.000,22368977,09 Nisan 2023,Opel,Astra,1.3 CDTI Essentia,2008,182.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 750 TL,,,,,,,,,,Boyanmış,Boyanmış,,Lokal Boyanmış
33,355.000,22367221,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy,2008,191.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,623 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 3.000 TL,,Değişmiş,Boyanmış,,Boyanmış,Boyanmış,,Değişmiş,Boyanmış,,,,
34,353.000,22368511,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy,2008,243.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,623 TL,Takasa Uygun Değil,Tramer tutarı belirtilmemiş,Boyanmış,,Boyanmış,,Boyanmış,Boyanmış,Boyanmış,,Boyanmış,,,Boyanmış,Boyanmış
35,450.000,22365909,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy Plus,2011,158.900 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibiyim,623 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
36,465.000,22366880,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy Plus,2010,135.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibiyim,623 TL,Takasa Uygun,,,,,,,,,,,,,,
37,447.500,22368734,09 Nisan 2023,Opel,Astra,1.3 CDTI Edition,2013,206.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,826 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 7.200 TL,Boyanmış,Boyanmış,Boyanmış,,,,Değişmiş,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
38,330.000,22366298,09 Nisan 2023,Opel,Astra,1.3 CDTI Enjoy,2008,228.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi,İlk Sahibi Değilim,623 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
39,460.000,22367491,08 Nisan 2023,Opel,Astra,1.3 CDTI Essentia,2012,143.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,826 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
40,305.000,22367238,08 Nisan 2023,Opel,Astra,1.3 CDTI Essentia,2006,273.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (titanyum),İlk Sahibi Değilim,219 TL,Takasa Uygun,,,,,,,,,,,,,,
41,255.000,22366256,08 Nisan 2023,Opel,Astra,1.3 CDTI Essentia,2006,250.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,219 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
