,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,795.000,22342269,05 Nisan 2023,Toyota,Corolla,1.2 Turbo Dream,2021,11.000 km,Otomatik,Benzin,Hatchback/5,1197 cc,116 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kırmızı,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 22.686 TL,,,,,,,Lokal Boyanmış,,,Değişmiş,,,
1,859.000,22331604,04 Nisan 2023,Toyota,Corolla,1.2 Turbo Dream X-Pack,2020,53.619 km,Otomatik,Benzin,Hatchback/5,1197 cc,116 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,2.545 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
2,849.000,22123414,09 Mart 2023,Toyota,Corolla,1.2 Turbo Flame,2020,30.500 km,Otomatik,Benzin,Hatchback/5,1197 cc,116 hp,Önden Çekiş,Takasa Uygun:,Şirket,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,2.545 TL,Takasa Uygun,Toplam Tramer Tutarı: 5.354 TL,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış
3,955.000,22114915,08 Mart 2023,Toyota,Corolla,1.2 Turbo Dream X-Pack,2021,3.500 km,Otomatik,Benzin,Hatchback/5,1197 cc,116 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kırmızı,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
4,870.000,22051434,27 Şubat 2023,Toyota,Corolla,1.2 Turbo Flame X-Pack,2020,52.500 km,Otomatik,Benzin,Hatchback/5,1197 cc,116 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.545 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
5,145.000,22385172,11 Nisan 2023,Toyota,Corolla,1.3 XL,1992,293.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
6,185.000,22385039,11 Nisan 2023,Toyota,Corolla,1.3 XL,1998,288.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,Değişmiş,,,,Değişmiş,,Değişmiş,,,,
7,165.000,22384277,11 Nisan 2023,Toyota,Corolla,1.3 XLi,1995,340.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
8,210.000,22381690,11 Nisan 2023,Toyota,Corolla,1.3 XE,1997,410.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Tramer tutarı yok,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
9,247.000,22383724,10 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,242.000 km,Düz,LPG & Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi (metalik),İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
10,235.000,22375106,10 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,243.000 km,Düz,LPG & Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Yeşil,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 2.000 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
11,182.000,22379909,10 Nisan 2023,Toyota,Corolla,1.3 XL,1997,350.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,Boyanmış,Değişmiş,Boyanmış,Orijinal,Boyanmış,Boyanmış,Değişmiş,Değişmiş,Boyanmış,,,Boyanmış,Boyanmış
12,235.000,22379649,10 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,254.000 km,Otomatik,LPG & Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kırmızı,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
13,230.000,22378193,10 Nisan 2023,Toyota,Corolla,1.3 XE,1997,368.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
14,200.000,22367206,09 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,300.000 km,Düz,LPG & Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
15,185.000,21460913,08 Nisan 2023,Toyota,Corolla,1.3 XL,1997,360.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
16,235.000,22365254,08 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,160.000 km,Düz,Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 650 TL,Boyanmış,Boyanmış,Boyanmış,,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış
17,176.250,22364396,08 Nisan 2023,Toyota,Corolla,1.3 XL,1993,176.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Bej,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
18,128.250,22358189,08 Nisan 2023,Toyota,Corolla,1.3 XL,1992,335.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
19,185.000,22363335,08 Nisan 2023,Toyota,Corolla,1.3 XE,1998,340.000 km,Düz,LPG & Benzin,Sedan,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,,,,
20,182.500,21943874,08 Nisan 2023,Toyota,Corolla,1.3 XL,2000,258.000 km,Düz,LPG & Benzin,Station wagon,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
21,168.500,22360051,07 Nisan 2023,Toyota,Corolla,1.3 XE,1995,250.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
22,136.000,22356646,07 Nisan 2023,Toyota,Corolla,1.3 XL,1992,247.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibiyim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
23,172.500,22353405,07 Nisan 2023,Toyota,Corolla,1.3 XE,1995,301.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
24,200.000,21549241,07 Nisan 2023,Toyota,Corolla,1.3 Terra,1999,286.000 km,Düz,LPG & Benzin,Sedan,1332 cc,86 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
25,195.000,22351895,07 Nisan 2023,Toyota,Corolla,1.3 XE,1997,270.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
26,135.000,22351566,07 Nisan 2023,Toyota,Corolla,1.3 XL,1993,500.500 km,Düz,LPG & Benzin,Station wagon,1295 cc,75 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,219 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
