,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,1.660.000,22438542,17 Nisan 2023,Volkswagen,Arteon,2.0 TDI Elegance,2017,108.000 km,Yarı Otomatik,Dizel,Hatchback/5,1968 cc,240 hp,4WD (Sürekli),Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,8.709 TL,Takasa Uygun,Tramer tutarı belirtilmemiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Orijinal,Orijinal,Değişmiş,Orijinal,Orijinal,Orijinal,Orijinal
1,1.350.000,22437227,17 Nisan 2023,Volkswagen,Arteon,2.0 TDI Elegance,2017,200.000 km,Yarı Otomatik,Dizel,Hatchback/5,1968 cc,150 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,8.709 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
2,1.395.000,22428547,16 Nisan 2023,Volkswagen,Arteon,1.5 TSI R Line,2017,68.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
3,2.050.000,22409546,13 Nisan 2023,Volkswagen,Arteon,2.0 TDI R Line,2019,130.000 km,Yarı Otomatik,Dizel,Hatchback/5,1968 cc,240 hp,4WD (Sürekli),Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
4,1.450.000,22398673,12 Nisan 2023,Volkswagen,Arteon,2.0 TDI Elegance,2017,132.000 km,Yarı Otomatik,Dizel,Hatchback/5,1968 cc,150 hp,Önden Çekiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
5,2.100.000,22396419,12 Nisan 2023,Volkswagen,Arteon,2.0 TDI R Line,2017,47.000 km,Yarı Otomatik,Dizel,Hatchback/5,1968 cc,240 hp,4WD (Sürekli),Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibiyim,8.709 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
6,1.255.000,22382291,10 Nisan 2023,Volkswagen,Arteon,1.5 TSI Elegance,2017,114.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (metalik),İlk Sahibiyim,2.769 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 23.000 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
7,1.435.000,22265348,06 Nisan 2023,Volkswagen,Arteon,1.5 TSI R Line,2019,148.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
8,1.600.000,22339773,05 Nisan 2023,Volkswagen,Arteon,1.5 TSI R Line,2019,70.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibiyim,,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
9,1.700.000,21843022,05 Nisan 2023,Volkswagen,Arteon,1.5 TSI R Line,2017,29.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.769 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
10,1.420.000,22289155,30 Mart 2023,Volkswagen,Arteon,1.5 TSI R Line,2017,103.000 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.769 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
11,305.000,22442089,18 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2003,215.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,102 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 4.050 TL,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış
12,385.000,22442408,18 Nisan 2023,Volkswagen,Bora,1.6 Pacific,2004,250.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Tramer tutarı yok,,,,,,,Lokal Boyanmış,,,,,,
13,350.000,22445204,18 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2001,207.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Gri (titanyum),İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,Lokal Boyanmış,,,,,Lokal Boyanmış,,,,,,,
14,297.000,22442555,18 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2004,255.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,102 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
15,363.000,22441111,18 Nisan 2023,Volkswagen,Bora,1.6 Basic,2004,142.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,Boyanmış,Boyanmış,,Boyanmış,,,,
16,210.000,22441992,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2000,391.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,Tramer tutarı belirtilmemiş,,Boyanmış,Boyanmış,,,,Boyanmış,Değişmiş,Boyanmış,,,Boyanmış,
