,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
0,409.000,22273440,28 Mart 2023,Renault,Clio,0.9 TCe Icon,2013,101.500 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,826 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 8.800 TL,Lokal Boyanmış,,Lokal Boyanmış,,,Lokal Boyanmış,,,Lokal Boyanmış,,,,
1,425.000,17422373,28 Mart 2023,Renault,Clio,0.9 TCe Icon,2013,98.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,826 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 1.000 TL,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
2,485.000,21869987,28 Mart 2023,Renault,Clio,0.9 TCe Touch,2020,20.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Kırmızı,İlk Sahibiyim,2.120 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
3,465.000,22268044,28 Mart 2023,Renault,Clio,0.9 TCe Touch,2019,115.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.479 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
4,375.000,22269501,28 Mart 2023,Renault,Clio,0.9 TCe Touch,2012,169.800 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,826 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
5,471.000,22266671,27 Mart 2023,Renault,Clio,0.9 TCe Touch,2019,44.500 km,Düz,LPG & Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.479 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
6,415.000,21378056,27 Mart 2023,Renault,Clio,0.9 TCe Icon,2014,99.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,826 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 9.304 TL,Boyanmış,,Değişmiş,,Değişmiş,,,,,,,Değişmiş,
7,460.000,22264705,27 Mart 2023,Renault,Clio,0.9 TCe Touch,2020,91.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibiyim,2.120 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Lokal Boyanmış,Orijinal,Orijinal,Orijinal
8,490.000,22262987,27 Mart 2023,Renault,Clio,0.9 TCe Touch,2020,11.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.120 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
9,495.000,22256111,27 Mart 2023,Renault,Clio,0.9 TCe Joy,2020,22.000 km,Düz,Benzin,Hatchback/5,898 cc,90 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,2.120 TL,Takasa Uygun,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
